Address ,List_Price ,latitude,longitude
"5459 N Mobile Ave Chicago, IL 60630","$180,000 ",41.980965,-87.784992
"3312 N Keating Ave Chicago, IL 60641","$254,000 ",41.941118,-87.745716
"2827 W Nelson St Chicago, IL 60618","$56,500 ",41.936386,-87.698854
"6522 N Oak Park Ave Chicago, IL 60631","$409,500 ",41.999837,-87.79599
"6848 W Forest Preserve Dr Harwood Heights, IL 60706","$95,000 ",41.957875,-87.79968
"1572 Maple Ave Apt 304 Evanston, IL 60201","$529,000 ",42.046459,-87.685412
"763 S Spring Willow Bay Palatine, IL 60067","$285,000 ",42.096558,-88.076034
"109 50th Ave Bellwood, IL 60104","$150,000 ",41.890222,-87.893976
"3414 N Oketo Ave Chicago, IL 60634","$236,000 ",41.941846,-87.812193
"6320 W Higgins Ave Apt 402 Chicago, IL 60630","$190,000 ",41.976053,-87.786103
"1327 Highland Dr Apt D Des Plaines, IL 60018","$102,500 ",42.014454,-87.891242
"1241 W Granville Ave Chicago, IL 60660","$265,000 ",41.994252,-87.66212
"4125 Applewood Ln Northbrook, IL 60062","$315,000 ",42.14772,-87.881069
"422 E Beech Dr Schaumburg, IL 60193","$590,000 ",42.021909,-88.069242
"1717 N Rand Rd Palatine, IL 60074","$170,000 ",,
"2540 Bel Air Dr Glenview, IL 60025","$170,000 ",42.063864,-87.82138
"1340 W Wolfram St Chicago, IL 60657","$1,335,000 ",41.93366,-87.662824
"230 Glendale Rd Glenview, IL 60025","$65,000 ",42.0591,-87.837338
"3636 S 55th Ct Cicero, IL 60804","$225,000 ",41.825905,-87.762339
"633 S Oak Park Ave Oak Park, IL 60304","$131,000 ",41.876822,-87.794502
"6 Partridge Ln Palos Park, IL 60464","$131,000 ",41.655677,-87.896403
"195 Holmes Way Schaumburg, IL 60193","$105,000 ",42.029468,-88.154107
"1820 N Spaulding Ave Apt 306 Chicago, IL 60647","$95,000 ",41.914353,-87.710709
"2717 N Wilton Ave Apt 3N Chicago, IL 60614","$174,000 ",41.931372,-87.652247
"1029 Lathrop Ave Forest Park, IL 60130","$165,000 ",41.867379,-87.814453
"1120 Lathrop Ave Forest Park, IL 60130","$235,000 ",41.865781,-87.813604
"5343 N Spaulding Ave Chicago, IL 60625","$410,000 ",41.978819,-87.710837
"6850 N Kilpatrick Ave Lincolnwood, IL 60712","$69,000 ",42.006143,-87.746388
"2620 Park Ln Glenview, IL 60025","$225,000 ",42.077347,-87.823631
"3440 N Lake Shore Dr Apt 10E Chicago, IL 60657","$189,000 ",41.944353,-87.641529
"5142 N Tripp Ave Chicago, IL 60630","$191,000 ",41.974919,-87.734737
