Address,list_price,beds,baths,sq_ft,latitude,longitude
"1140 W Cornelia Ave Apt C Chicago, IL 60657",636500.0,3.0,2.5,2400.0,41.945579,-87.65830799999999
"4650 N Winthrop Ave Apt 3C Chicago, IL 60640",498000.0,3.0,2.0,2400.0,41.9665228,-87.6574579
"55 E Erie St Apt 1705 Chicago, IL 60611",1150000.0,3.0,3.0,2384.0,41.8938978,-87.6260539
"1445 W Huron St Apt 3 Chicago, IL 60642",505000.0,3.0,2.5,2350.0,41.8940366,-87.66410379999999
"1000 W Washington Blvd Unit 406 Chicago, IL 60607",1200000.0,2.0,2.0,2350.0,41.88379399999999,-87.6527085
"1512 N Campbell Ave # 1 Chicago, IL 60622",450000.0,3.0,3.0,2320.0,41.9089126,-87.68994959999999
"6145 N Glenwood Ave # 1N Chicago, IL 60660",418000.0,3.0,3.0,2300.0,41.9939101,-87.6650519
"3038 N Leavitt St # 1 Chicago, IL 60618",596000.0,3.0,3.0,2300.0,41.9370898,-87.68341269999999
"2743 N Wolcott Ave Unit 44 Chicago, IL 60614",637000.0,3.0,3.0,2300.0,41.9319415,-87.6750773
"1440 N State Pkwy Apt 21D Chicago, IL 60610",770000.0,3.0,2.5,2300.0,41.9089797,-87.6293582
"547 S Clark St Apt 1401 Chicago, IL 60605",825000.0,3.0,2.5,2300.0,41.8747537,-87.630353
"1646 W Julian St Apt A Chicago, IL 60622",485000.0,2.0,2.5,2300.0,41.9085315,-87.6694653
"910 W Jackson Blvd # 3W Chicago, IL 60607",900000.0,3.0,1.5,2300.0,41.8780422,-87.6499454
"4035 N Parkside Dr Hoffman Estates, IL 60192",357500.0,4.0,2.5,2278.0,42.0968635,-88.12545899999999
"1651 W Huron St # 1E Chicago, IL 60622",505000.0,3.0,2.5,2250.0,41.8940406,-87.669224
"1122 W Diversey Pkwy # 2E Chicago, IL 60614",465000.0,2.0,2.0,2238.0,41.93284999999999,-87.65686199999999
"1812 S Federal St # F36 Chicago, IL 60616",508000.0,3.0,2.0,2230.0,41.8570982,-87.6290562
"5827 Franklin Ct Hanover Park, IL 60133",240000.0,4.0,2.5,2212.0,41.9768779,-88.1438354
"4448 N Dover St # 1 Chicago, IL 60640",428000.0,3.0,3.0,2200.0,41.963157,-87.66539
"1641 N Dayton St # 1 Chicago, IL 60614",695000.0,3.0,3.0,2200.0,41.9121099,-87.6492784
"4147 S Ellis Ave # 2N Chicago, IL 60653",242500.0,3.0,2.5,2200.0,41.8187092,-87.60170409999999
"5832 Lincoln Ave Unit A Morton Grove, IL 60053",315000.0,3.0,2.5,2200.0,42.035456,-87.7729795
"2537 N Greenview Ave Chicago, IL 60614",483000.0,3.0,2.5,2200.0,41.928418,-87.66541199999999
"1410 W Argyle St # P-5 Chicago, IL 60640",425000.0,3.0,2.5,2200.0,41.9727946,-87.6651641
"875 N Milwaukee Ave # 2-3E Chicago, IL 60642",575000.0,3.0,2.5,2200.0,41.8979753,-87.6577865
"1300 N Lake Shore Dr Apt 19A Chicago, IL 60610",1455000.0,3.0,2.5,2200.0,41.9062326,-87.625621
"2728 N Racine Ave # 1 Chicago, IL 60614",602000.0,3.0,2.5,2200.0,41.9316085,-87.6589415
