,latitude,longitude,Address,List_Price,beds,baths,sq_ft
162,41.771122,-87.67041,"6732 S Honore St Chicago, IL 60636","$99,500 ",4.0,,
163,41.849383,-87.818627,"2224 Westover Ave North Riverside, IL 60546","$248,000 ",3.0,2.0,"1,008"
164,41.823716999999995,-87.787258,"3737 East Ave Berwyn, IL 60402","$299,000 ",5.0,2.0,2
165,41.849990000000005,-87.79207199999999,"6723 Riverside Dr Berwyn, IL 60402","$389,000 ",5.0,3.0,"1,650"
166,42.1084,-88.077457,"1336 W Hampton Pl Palatine, IL 60067","$499,999 ",5.0,3.5,"2,779"
167,41.552215000000004,-87.538907,"18855 Burnham Ave Apt 231 Lansing, IL 60438","$65,000 ",2.0,2.0,"1,200"
168,42.078654,-87.937661,"619 N Wille St Mount Prospect, IL 60056","$284,900 ",3.0,1.0,"1,080"
169,41.873554999999996,-87.66206700000001,"1402 W Flournoy St Apt 3 Chicago, IL 60607","$250,000 ",2.0,1.0,1
170,41.731398999999996,-87.567413,"9006 S Oglesby Ave Chicago, IL 60617","$216,000 ",4.0,2.0,"1,932"
171,41.813811,-87.61735,"4432 S King Dr Chicago, IL 60653","$441,906 ",4.0,3.5,"2,160"
172,41.587322,-87.83302900000001,"8800 167th St Orland Hills, IL 60487","$269,900 ",3.0,2.0,"1,062"
173,41.69618,-87.72233100000001,"4032 W 109th St Oak Lawn, IL 60453","$219,900 ",4.0,2.0,"1,654"
174,,,"Markham, IL 60428","$45,000 ",3.0,1.0,"1,004"
175,,,"Markham, IL 60428","$249,900 ",,,
176,,,"Markham, IL 60428","$45,000 ",3.0,1.0,"1,004"
177,,,"Markham, IL 60428","$249,900 ",,,
178,41.982444,-87.659097,"1122 W Catalpa Ave Apt 909 Chicago, IL 60640","$255,000 ",2.0,2.0,2
179,41.801091,-87.87095699999999,"704 S Madison Ave La Grange, IL 60525","$479,900 ",3.0,2.5,"1,634"
180,42.017417,-87.849562,"534 N Home Ave Park Ridge, IL 60068","$299,900 ",4.0,2.0,"1,884"
181,42.0508,-87.704473,"1819 Laurel Ave Evanston, IL 60201","$325,000 ",3.0,2.0,"1,100"
182,41.681549,-87.736498,"11610 S Joalyce Dr Alsip, IL 60803","$148,000 ",3.0,2.0,"1,658"
183,41.875832,-87.85631500000001,"1226 S 19th Ave Maywood, IL 60153","$55,000 ",2.0,1.0,"1,013"
184,41.913506,-87.705433,"1753 N Troy St Chicago, IL 60647","$899,000 ",5.0,3.5,"3,600"
185,41.620616,-87.772994,"14880 Harbor Dr Oak Forest, IL 60452","$389,000 ",5.0,2.5,"2,919"
186,41.610893,-87.79600400000001,"15437 S 73rd Ave Orland Park, IL 60462","$170,000 ",2.0,2.5,"1,300"
187,42.087238,-87.96875899999999,"420 N Derbyshire Ave Arlington Heights, IL 60004","$875,000 ",5.0,4.5,"3,569"
188,,,"1917 W Potomac Ave # 2 Chicago, IL 60622","$459,000 ",2.0,2.0,"1,500"
189,41.893069,-87.615103,"600 N Lake Shore Dr Apt 1002 Chicago, IL 60611","$766,000 ",2.0,2.0,"1,475"
190,41.823661,-87.609381,"718 E Pershing Rd Chicago, IL 60653","$410,000 ",3.0,2.5,"2,931"
191,41.69543,-87.77080600000001,"10812 McVicker Ave Chicago Ridge, IL 60415","$190,000 ",4.0,1.5,"1,368"
192,41.952403000000004,-87.867069,"4039 Prairie Ave Schiller Park, IL 60176","$278,500 ",4.0,2.0,"1,640"
193,41.99812,-87.98898299999999,"299 Fern Dr Elk Grove Village, IL 60007","$274,500 ",4.0,2.0,2
194,41.822707,-87.763485,"3822 S Central Ave Cicero, IL 60804","$134,900 ",2.0,1.0,958
195,41.949542,-87.879253,"10121 Hartford Ct Apt 1A Schiller Park, IL 60176","$129,000 ",2.0,1.0,756
196,,,"8432 S Mackinaw Ave # 2F Chicago, IL 60617","$99,900 ",8.0,,
197,41.829401000000004,-87.83551899999999,"8517 Rockefeller Ave Brookfield, IL 60513","$327,900 ",3.0,2.0,"1,400"
198,42.059915999999994,-87.682063,"2314 Sherman Ave Unit 1E Evanston, IL 60201","$232,000 ",2.0,2.0,"1,150"
199,41.888243,-87.752555,"411 N Leclaire Ave Chicago, IL 60644","$65,000 ",3.0,1.5,900
200,41.73324,-87.623722,"8843 S State St Chicago, IL 60619","$164,900 ",4.0,3.0,3
201,41.918659000000005,-87.65859,"2024 N Racine Ave Apt F Chicago, IL 60614","$849,000 ",4.0,3.5,3.5
202,41.915393,-87.709063,"1856 N Sawyer Ave Apt 201 Chicago, IL 60647","$299,000 ",2.0,2.0,"1,100"
203,42.128254,-87.901705,"681 Prestwick Ln Wheeling, IL 60090","$335,000 ",3.0,2.5,"2,100"
204,41.980965000000005,-87.784992,"5459 N Mobile Ave Chicago, IL 60630","$375,000 ",4.0,2.0,"2,000"
205,41.941117999999996,-87.745716,"3312 N Keating Ave Chicago, IL 60641","$352,500 ",6.0,,
206,41.936386,-87.698854,"2827 W Nelson St Chicago, IL 60618","$334,900 ",3.0,2.0,"1,500"
207,41.999837,-87.79599,"6522 N Oak Park Ave Chicago, IL 60631","$579,900 ",6.0,4.0,"3,150"
208,41.957875,-87.79968000000001,"6848 W Forest Preserve Dr Harwood Heights, IL 60706","$409,900 ",5.0,2.0,"2,226"
209,42.046459000000006,-87.685412,"1572 Maple Ave Apt 304 Evanston, IL 60201","$595,000 ",3.0,2.5,"1,746"
210,42.096558,-88.07603399999999,"763 S Spring Willow Bay Palatine, IL 60067","$499,901 ",5.0,2.5,"2,548"
211,41.890221999999994,-87.893976,"109 50th Ave Bellwood, IL 60104","$269,900 ",5.0,2.5,"2,400"
212,41.941846000000005,-87.81219300000001,"3414 N Oketo Ave Chicago, IL 60634","$314,900 ",5.0,2.0,"1,200"
213,41.976053,-87.786103,"6320 W Higgins Ave Apt 402 Chicago, IL 60630","$229,000 ",2.0,2.0,"1,230"
214,42.014454,-87.891242,"1327 Highland Dr Apt D Des Plaines, IL 60018","$199,000 ",3.0,1.5,1.5
215,41.994252,-87.66212,"1241 W Granville Ave Chicago, IL 60660","$333,000 ",2.0,1.0,"1,700"
216,42.14772,-87.881069,"4125 Applewood Ln Northbrook, IL 60062","$550,000 ",4.0,2.5,"2,800"
217,42.021909,-88.069242,"422 E Beech Dr Schaumburg, IL 60193","$408,000 ",3.0,2.0,"1,910"
218,,,"1717 N Rand Rd Palatine, IL 60074","$359,000 ",,,
219,42.063864,-87.82138,"2540 Bel Air Dr Glenview, IL 60025","$495,000 ",4.0,2.0,2
220,41.933659999999996,-87.662824,"1340 W Wolfram St Chicago, IL 60657","$750,000 ",4.0,2.0,"1,400"
221,42.0591,-87.837338,"230 Glendale Rd Glenview, IL 60025","$449,900 ",4.0,3.0,"2,471"
222,41.825905,-87.762339,"3636 S 55th Ct Cicero, IL 60804","$180,000 ",4.0,3.0,948
223,41.876822,-87.79450200000001,"633 S Oak Park Ave Oak Park, IL 60304","$649,000 ",4.0,4.0,"2,578"
224,41.655677000000004,-87.896403,"6 Partridge Ln Palos Park, IL 60464","$749,900 ",4.0,3.0,"5,000"
225,42.029468,-88.154107,"195 Holmes Way Schaumburg, IL 60193","$254,900 ",3.0,2.5,"1,620"
226,41.914353000000006,-87.710709,"1820 N Spaulding Ave Apt 306 Chicago, IL 60647","$284,900 ",2.0,1.0,1
227,41.931371999999996,-87.652247,"2717 N Wilton Ave Apt 3N Chicago, IL 60614","$495,000 ",2.0,2.0,2
228,41.867379,-87.814453,"1029 Lathrop Ave Forest Park, IL 60130","$265,000 ",3.0,1.0,"1,122"
229,41.865781,-87.813604,"1120 Lathrop Ave Forest Park, IL 60130","$377,000 ",3.0,2.5,"1,800"
230,41.978819,-87.710837,"5343 N Spaulding Ave Chicago, IL 60625","$315,000 ",3.0,1.5,"1,324"
231,42.006143,-87.746388,"6850 N Kilpatrick Ave Lincolnwood, IL 60712","$535,000 ",3.0,2.5,"2,327"
232,42.077346999999996,-87.823631,"2620 Park Ln Glenview, IL 60025","$819,000 ",4.0,3.5,"3,170"
233,41.944353,-87.641529,"3440 N Lake Shore Dr Apt 10E Chicago, IL 60657","$175,000 ",1.0,1.0,1
234,41.974919,-87.734737,"5142 N Tripp Ave Chicago, IL 60630","$550,000 ",6.0,3.5,"3,400"
235,41.962253000000004,-87.69882199999999,"4432 N California Ave Chicago, IL 60625","$649,900 ",8.0,,
