,List_Price ,List_Price .1,beds,baths,sq_ft
177,"5555 S Everett Ave Apt C6 Chicago, IL 60637",169000.0,3.0,2.0,2000.0
178,"2910 N Pine Grove Ave # 2 Chicago, IL 60657",545000.0,3.0,2.0,2000.0
179,"11 S Wille St Apt 606 Mt Prospect, IL 60056",321000.0,3.0,2.0,2000.0
180,"934 W Agatite Ave Apt 2 Chicago, IL 60640",477500.0,3.0,2.0,2000.0
181,"560 W Roscoe St Apt 2E Chicago, IL 60657",520000.0,3.0,2.0,2000.0
182,"333 S Oak Park Ave Apt 1N Oak Park, IL 60302",250000.0,3.0,2.0,2000.0
183,"817 W Lawrence Ave Apt 1 Chicago, IL 60640",359000.0,3.0,2.0,2000.0
184,"547 Hill Ter Apt 302 Winnetka, IL 60093",387000.0,3.0,2.0,2000.0
185,"920 W Barry Ave Apt 5 Chicago, IL 60657",672500.0,3.0,2.0,2000.0
186,"4040 N Mozart St Unit 1 Chicago, IL 60618",415000.0,3.0,2.0,2000.0
187,"1120 N Wood St Apt 1 Chicago, IL 60622",475000.0,3.0,2.0,2000.0
188,"1813 S Clark St # K41 Chicago, IL 60616",465000.0,2.0,2.0,2000.0
189,"1750 W Julian St Apt 6 Chicago, IL 60622",450000.0,2.0,2.0,2000.0
190,"1000 W Washington Blvd Unit 336 Chicago, IL 60607",690000.0,2.0,2.0,2000.0
191,"5560 Cloverdale Rd Hanover Park, IL 60133",260000.0,3.0,3.0,1976.0
192,"392 W Wood St # 23 Palatine, IL 60067",350000.0,3.0,3.5,1965.0
193,"1920 N Stanton Ct # 62 Arlington Heights, IL 60004",353000.0,3.0,3.5,1960.0
194,"1740 N Marshfield Ave Apt 3 Chicago, IL 60622",500000.0,2.0,2.0,1955.0
195,"250 E Pearson St Apt 1501 Chicago, IL 60611",1005000.0,2.0,2.5,1950.0
196,"2051 Middlefork Rd Northfield, IL 60093",745000.0,4.0,2.5,1933.0
197,"333 W Hubbard St Apt 901 Chicago, IL 60654",799000.0,2.0,2.0,1907.0
198,"3800 N Lake Shore Dr # 10B Chicago, IL 60613",640000.0,2.0,2.5,1905.0
199,"622 Grove Ln Forest Park, IL 60130",324000.0,3.0,2.5,1904.0
200,"530 N Lake Shore Dr Apt 1004 Chicago, IL 60611",725000.0,3.0,3.0,1901.0
201,"530 N Lake Shore Dr Apt 1204 Chicago, IL 60611",840000.0,3.0,3.0,1901.0
202,"4026 N Clarendon Ave Apt 1N Chicago, IL 60613",368000.0,2.0,3.0,1900.0
203,"766 Stonewall Ct Schaumburg, IL 60173",325000.0,3.0,2.5,1900.0
204,"2769 Langley Cir Glenview, IL 60026",594000.0,3.0,2.5,1900.0
205,"1939 W Division St Apt R4 Chicago, IL 60622",660000.0,3.0,2.0,1900.0
206,"15713 Old Orchard Ct Unit 2N Orland Park, IL 60462",179000.0,3.0,2.0,1900.0
207,"333 W Hubbard St Apt 813 Chicago, IL 60654",799000.0,2.0,2.0,1900.0
208,"512 N Claremont Ave # 3 Chicago, IL 60612",420000.0,3.0,1.5,1900.0
209,"333 N Jefferson St Apt 502 Chicago, IL 60661",315000.0,3.0,2.5,1883.0
210,"2030 N Halsted St Apt 2N Chicago, IL 60614",715000.0,2.0,2.0,1876.0
211,"1926 S Wabash Ave Unit 4 Chicago, IL 60616",499000.0,3.0,2.0,1875.0
212,"7411 W 114th St Worth, IL 60482",345000.0,4.0,2.5,1874.0
213,"1737 N Paulina St Apt 301 Chicago, IL 60622",590000.0,2.0,2.0,1859.0
214,"2142 W Jackson Blvd # 2 Chicago, IL 60612",260000.0,3.0,2.5,1850.0
215,"1300 W Altgeld St # P14 Chicago, IL 60614",100000.0,2.0,2.5,1850.0
216,"4359 N Campbell Ave Chicago, IL 60618",459000.0,2.0,2.5,1850.0
217,"1621 W Rascher Ave Apt 1 Chicago, IL 60640",418000.0,3.0,2.0,1850.0
218,"3346 N Sheffield Ave Apt 4S Chicago, IL 60657",579000.0,2.0,2.0,1850.0
219,"2867 W Palmer St Apt 2 Chicago, IL 60647",430000.0,2.0,2.0,1815.0
220,"4545 W Touhy Ave # 709E Lincolnwood, IL 60712",430000.0,2.0,2.0,1810.0
