Month,CountyFIPS,CountyName,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2018-08-01 00:00:00,37081,"Guilford, NC",123,,240000.000000,-0.0206,0.1096,2085.5,-0.0394,-0.1418,55.00,-0.0517,-0.1667,724.0,-0.0055,0.0554,22.0,-0.2143,0.1000,468.0,0.1250,-0.2121,57.5,0.2234,0.1165,304342.0000,-0.0404,0.0393,2143.0,-0.0338,-0.1364,0.0276,0.0059,0.0064
2018-08-01 00:00:00,10003,"New Castle, DE",124,*,260050.000000,-0.0189,0.0442,1797.5,-0.0284,-0.1764,60.00,0.0526,-0.1111,592.0,-0.2128,-0.0633,86.0,0.0750,0.2647,522.0,-0.0188,-0.0906,0.5,,-0.9995,316390.0000,0.0139,0.0205,1798.0,-0.0281,-0.4435,0.0003,0.0003,-0.4801
2018-08-01 00:00:00,42071,"Lancaster, PA",125,,269979.500000,-0.0181,0.0846,1385.0,0.0036,-0.2210,62.50,0.1574,0.1574,506.0,-0.1943,-0.2813,42.0,0.7500,0.1667,368.0,0.0698,-0.1636,0.0,,-1.0000,319548.0000,0.0049,0.0666,1385.0,0.0036,-0.2760,0.0000,0.0000,-0.0759
2018-08-01 00:00:00,20173,"Sedgwick, KS",126,,209750.000000,-0.0150,0.1127,1542.0,0.0118,-0.1412,53.00,0.0600,0.1648,678.0,0.1453,-0.1525,22.0,-0.3125,-0.2667,518.0,-0.0115,-0.1069,0.0,-1.0000,,271835.0000,0.0078,0.1089,1542.0,0.0098,-0.1412,0.0000,-0.0020,0.0000
2018-08-01 00:00:00,12101,"Pasco, FL",127,,239425.000000,-0.0022,0.0047,2629.5,0.0292,0.0704,60.25,0.0570,0.0955,940.0,-0.0820,-0.0784,86.0,0.2647,0.1622,1068.0,0.0810,0.3088,1478.5,-0.0374,-0.0267,276034.0000,-0.0025,0.0065,4108.0,0.0042,0.0333,0.5623,-0.0389,-0.0561
2018-08-01 00:00:00,53063,"Spokane, WA",128,,295050.000000,-0.0123,0.1571,1965.0,0.0337,-0.2375,37.00,0.0278,-0.0133,968.0,-0.0798,-0.0763,62.0,-0.1842,-0.0882,522.0,0.1059,-0.2606,954.5,-0.0445,-0.1239,375610.0000,-0.0070,0.1901,2919.5,0.0067,-0.2037,0.4858,-0.0398,0.0630
2018-08-01 00:00:00,06097,"Sonoma, CA",129,*,695050.000000,-0.0057,-0.0552,1532.0,0.0858,0.8996,43.00,0.1622,-0.0282,550.0,-0.1815,0.0742,22.0,-0.0833,2.6667,548.0,0.2124,1.0296,4.0,1.0000,-0.9894,1040934.0000,-0.0276,-0.1281,1536.0,0.0870,0.2973,0.0026,0.0012,-0.4655
2018-08-01 00:00:00,34039,"Union, NJ",130,,379050.000000,0.0000,0.1663,1898.5,-0.0133,0.0120,54.00,0.1250,-0.1148,620.0,-0.1193,0.0333,16.0,-0.6000,0.0000,326.0,-0.2383,0.0867,0.0,,-1.0000,514353.0000,-0.0290,0.0792,1898.5,-0.0133,0.0106,0.0000,0.0000,-0.0013
2018-08-01 00:00:00,48339,"Montgomery, TX",131,,340503.250000,-0.0229,0.0344,4246.5,0.0142,-0.0355,59.50,0.0625,-0.0165,1276.0,-0.0989,-0.0492,164.0,-0.3279,0.3443,1352.0,-0.1221,-0.0765,1386.5,-0.0967,0.0339,460682.0000,-0.0085,0.0484,5633.0,-0.0156,-0.0193,0.3265,-0.0401,0.0219
2018-08-01 00:00:00,45045,"Greenville, SC",132,,274999.750000,-0.0002,0.0002,2939.5,-0.0250,-0.0247,55.50,0.0472,0.0673,878.0,-0.1220,-0.0223,116.0,0.0000,-0.0333,696.0,0.0741,-0.0114,470.0,-0.0408,0.0387,357944.0000,-0.0337,-0.0017,3409.5,-0.0272,-0.0164,0.1599,-0.0026,0.0098
2018-08-01 00:00:00,34007,"Camden, NJ",133,*,180022.000000,0.0004,0.0868,2878.5,0.0182,-0.0516,66.00,0.0000,-0.1081,898.0,-0.0197,-0.0547,42.0,0.1667,0.0000,914.0,-0.0277,0.0829,0.0,,-1.0000,219643.0000,-0.0140,0.0496,2878.5,0.0182,-0.3408,0.0000,0.0000,-0.4387
2018-08-01 00:00:00,36067,"Onondaga, NY",134,,177050.000000,0.0120,0.0476,1638.5,0.0241,-0.0605,55.00,0.1458,-0.0598,614.0,0.0233,0.0337,34.0,1.8333,0.8889,460.0,-0.0086,-0.0086,13.0,0.6250,-0.0714,246970.0000,0.0104,0.0992,1651.5,0.0271,-0.0606,0.0079,0.0029,-0.0001
2018-08-01 00:00:00,42029,"Chester, PA",135,*,425000.000000,-0.0115,0.0119,2052.0,-0.0298,-0.1459,68.00,0.0968,-0.0556,618.0,-0.1222,-0.0550,54.0,-0.1000,-0.3571,512.0,-0.1233,-0.0890,0.0,,-1.0000,550677.0000,0.0015,0.0289,2052.0,-0.0298,-0.4248,0.0000,0.0000,-0.4849
