Address ,List_Price ,
"109 50th Ave Bellwood, IL 60104","$150,000 ",
"3414 N Oketo Ave Chicago, IL 60634","$236,000 ",
"6320 W Higgins Ave Apt 402 Chicago, IL 60630","$190,000 ",
"1327 Highland Dr Apt D Des Plaines, IL 60018","$102,500 ",
"1241 W Granville Ave Chicago, IL 60660","$265,000 ",
"4125 Applewood Ln Northbrook, IL 60062","$315,000 ",
"422 E Beech Dr Schaumburg, IL 60193","$590,000 ",
"1717 N Rand Rd Palatine, IL 60074","$170,000 ",
"2540 Bel Air Dr Glenview, IL 60025","$170,000 ",
"1340 W Wolfram St Chicago, IL 60657","$1,335,000 ",
"230 Glendale Rd Glenview, IL 60025","$65,000 ",
"3636 S 55th Ct Cicero, IL 60804","$225,000 ",
"633 S Oak Park Ave Oak Park, IL 60304","$131,000 ",
"6 Partridge Ln Palos Park, IL 60464","$131,000 ",
"195 Holmes Way Schaumburg, IL 60193","$105,000 ",
"1820 N Spaulding Ave Apt 306 Chicago, IL 60647","$95,000 ",
"2717 N Wilton Ave Apt 3N Chicago, IL 60614","$174,000 ",
"1029 Lathrop Ave Forest Park, IL 60130","$165,000 ",
"1120 Lathrop Ave Forest Park, IL 60130","$235,000 ",
"5343 N Spaulding Ave Chicago, IL 60625","$410,000 ",
"6850 N Kilpatrick Ave Lincolnwood, IL 60712","$69,000 ",
"2620 Park Ln Glenview, IL 60025","$225,000 ",
"3440 N Lake Shore Dr Apt 10E Chicago, IL 60657","$189,000 ",
"5142 N Tripp Ave Chicago, IL 60630","$191,000 ",
"4432 N California Ave Chicago, IL 60625","$200,000 ",
"161 W Harrison St Chicago, IL 60605","$231,000 ",
"10800 S Talman Ave Chicago, IL 60655","$101,000 ",
"840 Polo Ln Glenview, IL 60025","$200,000 ",
"204 5th St Wilmette, IL 60091","$190,000 ",
"1321 W Birchwood Ave Apt 307 Chicago, IL 60626","$180,000 ",
"1344 Olive Rd Homewood, IL 60430","$263,000 ",
"2725 W Nelson St Chicago, IL 60618","$229,000 ",
"2870 Meadow Ln Unit Z2 Schaumburg, IL 60193","$310,500 ",
"18 N Victoria Ln Apt D Streamwood, IL 60107","$617,500 ",
"3255 Kirchoff Rd Apt 212 Rolling Meadows, IL 60008","$230,000 ",
"9413 Bay Colony Dr Apt 2S Des Plaines, IL 60016","$197,000 ",
"295 Cindy Ln Wheeling, IL 60090","$200,000 ",
"110 Prospect Ct Prospect Heights, IL 60070","$224,680 ",
"10914 Lorel Ave # 10914 Oak Lawn, IL 60453","$260,000 ",
"525 N Stone Ave La Grange Park, IL 60526","$144,500 ",
"204 George Rd Wheeling, IL 60090","$38,000 ",
"2279 184th Pl Lansing, IL 60438","$273,000 ",
"4044 Grant St Oak Lawn, IL 60453","$95,000 ",
"11037 Menard Ave Chicago Ridge, IL 60415","$655,000 ",
"7800 Nagle Ave Burbank, IL 60459","$225,000 ",
"3106 Hedgerow Ln Homewood, IL 60430","$57,000 ",
"2714 N Lehmann Ct Apt 1N Chicago, IL 60614","$275,000 ",
"230 W Division St Apt 1508 Chicago, IL 60610","$180,000 ",
"200 N Dearborn St Chicago, IL 60601","$440,000 ",
"1512 S Prairie Ave Unit K Chicago, IL 60605","$225,000 ",
"429 W Wellington Ave Apt 3A Chicago, IL 60657","$238,500 ",
"3241 W Palmer St Apt 1E Chicago, IL 60647","$157,000 ",
"6226 W 87th St Burbank, IL 60459","$155,500 ",
"245 W Johnson St Unit 306 Palatine, IL 60067","$248,000 ",
"10411 S Longwood Dr Chicago, IL 60643","$32,000 ",
"2906 N Sheridan Rd Chicago, IL 60657","$140,000 ",
"1118 Hillview Dr Lemont, IL 60439","$88,000 ",
"2646 Pauline Ave Glenview, IL 60025","$517,500 ",
"168 Crescent Ln Schaumburg, IL 60193","$230,000 ",
"907 E Alder Ln Mount Prospect, IL 60056","$78,000 ",
"792 Margate Ln Apt C Prospect Heights, IL 60070","$219,000 ",
"764 Crescent Way Hanover Park, IL 60133","$262,500 ",
"716 S Byron Ct Mount Prospect, IL 60056","$184,500 ",
"4145 W Crystal St Chicago, IL 60651","$930,500 ",
"7831 S Michigan Ave Chicago, IL 60619","$123,500 ",
"1637 E 87th St Chicago, IL 60617","$78,000 ",
"1988 Oxford Ln Hoffman Estates, IL 60169","$340,000 ",
"3770 N Alder Dr Hoffman Estates, IL 60192","$340,000 ",
"8847 W 97th St Palos Hills, IL 60465","$340,000 ",
"601 Edinburgh Ln Apt D Prospect Heights, IL 60070","$175,000 ",
"604 W Bunting Ln Mount Prospect, IL 60056","$175,000 ",
"307 Herrick Rd Riverside, IL 60546","$175,000 ",
"9035 28th St Brookfield, IL 60513","$175,000 ",
"4114 Vernon Ave Brookfield, IL 60513","$175,000 ",
"9508 Jackson Ave Brookfield, IL 60513","$175,000 ",
"1546 Raymond Ave La Grange Park, IL 60526","$175,000 ",
"1812 N Sawyer Ave Chicago, IL 60647","$315,000 ",
"8212 S Dobson Ave Apt C Chicago, IL 60619","$116,000 ",
"8943 Saratoga Dr Bridgeview, IL 60455","$132,000 ",
"5451 McDonough Rd Hoffman Estates, IL 60192","$115,000 ",
