Address,List_Price ,beds,baths,sq_ft
"5119 N Nashville Ave Chicago, IL 60656","$349,900 ",3,1.5,"1,440"
"705 S Vine Ave Park Ridge, IL 60068","$439,000 ",3,1.5,"1,748"
"1200 W Northwest Hwy Apt 309 Mount Prospect, IL 60056","$165,000 ",2,2,2
"1001 S Aldine Ave Park Ridge, IL 60068","$399,900 ",3,3,"1,982"
"324 W Touhy Ave Park Ridge, IL 60068","$1,100,000 ",,,
"2914 N Washtenaw Ave Chicago, IL 60618","$995,000 ",5,6,"4,000"
"2946 225th Pl Sauk Village, IL 60411","$33,600 ",4,1.5,"1,200"
"12417 S State St Chicago, IL 60628","$35,700 ",3,1.5,"1,148"
"1215 Union Ct Wheeling, IL 60090","$145,000 ",3,1,"1,000"
"909 N Douglas Ave Arlington Heights, IL 60004","$429,900 ",4,3,"1,836"
"1230 N Darlington Cir Hoffman Estates, IL 60169","$250,000 ",3,1.5,"1,611"
"Chicago, IL 60632","$109,900 ",11,,
"4840 Foster St Apt 306 Skokie, IL 60077","$207,900 ",2,2,2
"9721 S Cicero Ave Apt 2C Oak Lawn, IL 60453","$77,900 ",2,1,750
"1365 Ashland Ave Apt 404 Des Plaines, IL 60016","$174,999 ",2,2,2
"6166 N Sheridan Rd Apt 14J Chicago, IL 60660","$64,900 ",1,1.5,800
"9715 Woods Dr Unit 600 Skokie, IL 60077","$319,999 ",2,2,"1,503"
"1530 S State St Apt 18L Chicago, IL 60605","$459,000 ",2,2,"1,689"
"5742 106th St Apt 1A Chicago Ridge, IL 60415","$119,000 ",2,2,"1,000"
"353 Sauk Trl Park Forest, IL 60466","$128,000 ",3,1,"1,092"
"1955 W Melrose St Apt 3 Chicago, IL 60657","$399,999 ",2,2,2
"9105 S Roberts Rd Apt 3C Hickory Hills, IL 60457","$120,000 ",2,2,900
"1812 S State St Unit 10 Chicago, IL 60616","$335,000 ",2,1,1
"933 Clinton Ave Oak Park, IL 60304","$349,900 ",5,3,"1,901"
"372 Hunterdon Ct # 6372A Schaumburg, IL 60194","$194,500 ",2,2.5,"1,500"
"12520 S Melvina Ave Palos Heights, IL 60463","$449,999 ",6,3.5,"3,510"
"5447 W Wrightwood Ave Chicago, IL 60639","$399,900 ",9,,
"8100 Lorel Ave Burbank, IL 60459","$339,000 ",3,2.5,"2,382"
"2504 Meadow Dr Rolling Meadows, IL 60008","$212,000 ",2,2,2
"10334 S Corliss Ave Chicago, IL 60628","$54,900 ",3,1,"1,166"
"705 11th St Apt 405 Wilmette, IL 60091","$299,500 ",1,1.5,875
"9442 Perth Cir Tinley Park, IL 60487","$239,900 ",2,2.5,"1,952"
"3300 N Panama Ave Chicago, IL 60634","$325,000 ",4,2,"2,150"
"5935 S Calumet Ave Chicago, IL 60637","$69,900 ",2,1,"1,260"
"2015 N 75th Ct Elmwood Park, IL 60707","$250,000 ",3,1.5,"1,433"
"437 W Division St Apt 815 Chicago, IL 60610","$399,900 ",2,2,"1,100"
"13103 Red Dr Lemont, IL 60439","$519,000 ",5,4,"3,800"
"5127 W Gladys Ave Chicago, IL 60644","$86,000 ",5,,
"8040 S Aberdeen St Chicago, IL 60620","$36,800 ",3,2,"1,080"
"7240 S Fairfield Ave Chicago, IL 60629","$237,500 ",5,3,"3,780"
"540 W Oakdale Ave Apt 3E Chicago, IL 60657","$599,900 ",3,2,"2,000"
"1642 W Julian St # 2 Chicago, IL 60622","$535,000 ",3,2.5,2.5
"14625 Laporte Ave Midlothian, IL 60445","$264,900 ",5,3,3
"4705 W 106th Pl Oak Lawn, IL 60453","$199,900 ",2,1.5,"2,087"
"5248 N Ludlam Ave Chicago, IL 60630","$369,900 ",5,3,"1,950"
"3945 W 69th St Chicago, IL 60629","$189,900 ",3,2,"1,278"
"1804 N Spaulding Ave Chicago, IL 60647","$489,900 ",3,2.5,"1,902"
"125 S Green St Apt 501A Chicago, IL 60607","$549,900 ",2,2,"1,297"
"1908 N Dayton St Chicago, IL 60614","$3,375,000 ",6,6.5,6.5
"1343 S Federal St Chicago, IL 60605","$1,895,000 ",4,3.5,"4,015"
"666 W Irving Park Rd Apt I1 Chicago, IL 60613","$335,000 ",3,2,"1,600"
"3400 N Lake Shore Dr Apt 6A Chicago, IL 60657","$589,000 ",3,2,"2,240"
"9801 S Kilbourn Ave Oak Lawn, IL 60453","$289,000 ",5,3,"2,788"
"1305 S Michigan Ave Apt 2012 Chicago, IL 60605","$399,900 ",2,2,"1,130"
"716 Suffolk Pl Streamwood, IL 60107","$135,000 ",3,1,"1,139"
"8459 S Kedzie Ave Apt 104 Chicago, IL 60652","$31,500 ",2,1,952
"10059 S Saint Lawrence Ave Chicago, IL 60628","$66,200 ",3,2,"1,451"
"751 N Winchester Dr Palatine, IL 60067","$319,980 ",3,2.5,"1,829"
"6878 Orchard Ln Hanover Park, IL 60133","$269,900 ",3,2,"1,900"
"2245 S Kolin Ave Chicago, IL 60623","$69,900 ",4,,
"2941 N Avers Ave # 2 Chicago, IL 60618","$540,000 ",3,3.5,3.5
"1600 N New England Ave Apt 2 Chicago, IL 60707","$234,900 ",2,2,"1,400"
"4578 N Meade Ave Chicago, IL 60630","$449,000 ",4,2,"2,000"
"1962 W Diversey Pkwy Apt 1 Chicago, IL 60614","$569,900 ",4,2.5,"2,750"
"50 E Chestnut St Apt 2201 Chicago, IL 60611","$3,400,000 ",3,3.5,"3,904"
"4219 N Keystone Ave Apt 2H Chicago, IL 60641","$159,900 ",2,1,1
"2639 W Belmont Ave Unit 2 Chicago, IL 60618","$325,000 ",2,2,2
"219 W North Ave Apt 3 Chicago, IL 60610","$429,000 ",3,2,"1,600"
"56 W Schiller St # 56 Chicago, IL 60610","$649,000 ",3,2.5,"1,654"
"1020 Harvard Ter Evanston, IL 60202","$449,000 ",3,2,"1,850"
"1856 N Dayton St # 2 Chicago, IL 60614","$2,050,000 ",4,4.5,"4,500"
"1620 W 100th Pl Chicago, IL 60643","$225,000 ",2,2,"1,600"
"360 W Illinois St Apt 4D Chicago, IL 60654","$620,000 ",2,2,"1,660"
"16257 Hummingbird Hill Dr Orland Park, IL 60467","$299,000 ",3,2,"2,487"
"233 E Erie St Apt 2303 Chicago, IL 60611","$165,000 ",1,1,637
"7525 S Luella Ave Chicago, IL 60649","$89,900 ",3,1.5,"1,385"
"Melrose Park, IL 60164","$269,900 ",3,2,"1,523"
"8228 S Kimbark Ave Chicago, IL 60619","$199,900 ",4,2,"1,900"
"Chicago, IL 60617","$170,000 ",3,2,"1,034"
"10350 S Longwood Dr Chicago, IL 60643","$839,900 ",4,4.5,"4,299"
"858 N Ogden Ave Chicago, IL 60642","$675,000 ",3,2.5,"2,273"
"3133 Dora St Franklin Park, IL 60131","$265,000 ",3,2.5,"1,978"
"2940 Alta St Melrose Park, IL 60164","$269,900 ",3,2,"1,150"
"6221 N Niagara Ave Apt 506 Chicago, IL 60631","$205,900 ",2,2,"1,300"
"3325 Deer Path Ln South Chicago Heights, IL 60411","$124,900 ",3,2,"1,445"
"1030 N State St Apt 3H Chicago, IL 60610","$379,000 ",1,1,"1,000"
